id,name,doc_ids
沃伦·韦弗,沃伦·韦弗,doc-ca532c518f704809a3340c2e77a6ad52
泰卢固语,泰卢固语,doc-ca532c518f704809a3340c2e77a6ad52
泰米尔语,泰米尔语,doc-ca532c518f704809a3340c2e77a6ad52
漏译,漏译,doc-ca532c518f704809a3340c2e77a6ad52
理论语言学,理论语言学,doc-ca532c518f704809a3340c2e77a6ad52
生僻词,生僻词,doc-ca532c518f704809a3340c2e77a6ad52
生理学,生理学,doc-ca532c518f704809a3340c2e77a6ad52
目标函数,目标函数,doc-ca532c518f704809a3340c2e77a6ad52
省略表达问题,省略表达问题,doc-ca532c518f704809a3340c2e77a6ad52
社会语言学,社会语言学,doc-ca532c518f704809a3340c2e77a6ad52
神经机器翻译,神经机器翻译,doc-ca532c518f704809a3340c2e77a6ad52
端到端,端到端,doc-ca532c518f704809a3340c2e77a6ad52
篇章分析,篇章分析,doc-ca532c518f704809a3340c2e77a6ad52
约翰·罗宾森·皮尔斯,约翰·罗宾森·皮尔斯,doc-ca532c518f704809a3340c2e77a6ad52
统计方法,统计方法,doc-ca532c518f704809a3340c2e77a6ad52
统计机器学习模型,统计机器学习模型,doc-ca532c518f704809a3340c2e77a6ad52
统计机器翻译,统计机器翻译,doc-ca532c518f704809a3340c2e77a6ad52
统计机器翻译方法,统计机器翻译方法,doc-ca532c518f704809a3340c2e77a6ad52
编程语言,编程语言,doc-ca532c518f704809a3340c2e77a6ad52
翻译不充分,翻译不充分,doc-ca532c518f704809a3340c2e77a6ad52
翻译模型,翻译模型,doc-ca532c518f704809a3340c2e77a6ad52
翻译系统,翻译系统,doc-ca532c518f704809a3340c2e77a6ad52
耶霍舒亚·巴希勒,耶霍舒亚·巴希勒,doc-ca532c518f704809a3340c2e77a6ad52
联合国秘书长,联合国秘书长,doc-ca532c518f704809a3340c2e77a6ad52
自动语言处理咨询委员会,自动语言处理咨询委员会,doc-ca532c518f704809a3340c2e77a6ad52
自然语言,自然语言,doc-ca532c518f704809a3340c2e77a6ad52
自然语言处理,自然语言处理,doc-ca532c518f704809a3340c2e77a6ad52
自然语言推理,自然语言推理,doc-ca532c518f704809a3340c2e77a6ad52
自然语言理解,自然语言理解,doc-ca532c518f704809a3340c2e77a6ad52
苏格兰场,苏格兰场,doc-ca532c518f704809a3340c2e77a6ad52
英语,英语,doc-ca532c518f704809a3340c2e77a6ad52
蛋白质序列,蛋白质序列,doc-ca532c518f704809a3340c2e77a6ad52
规则方法,规则方法,doc-ca532c518f704809a3340c2e77a6ad52
计算机基础课程,计算机基础课程,doc-ca532c518f704809a3340c2e77a6ad52
计算机科学,计算机科学,doc-ca532c518f704809a3340c2e77a6ad52
计算机视觉,计算机视觉,doc-ca532c518f704809a3340c2e77a6ad52
计算能力,计算能力,doc-ca532c518f704809a3340c2e77a6ad52
计算语言学,计算语言学,doc-ca532c518f704809a3340c2e77a6ad52
认知科学,认知科学,doc-ca532c518f704809a3340c2e77a6ad52
认知语言学,认知语言学,doc-ca532c518f704809a3340c2e77a6ad52
词义,词义,doc-ca532c518f704809a3340c2e77a6ad52
词对齐,词对齐,doc-ca532c518f704809a3340c2e77a6ad52
词性,词性,doc-ca532c518f704809a3340c2e77a6ad52
语义,语义,doc-ca532c518f704809a3340c2e77a6ad52
语义分析,语义分析,doc-ca532c518f704809a3340c2e77a6ad52
语法,语法,doc-ca532c518f704809a3340c2e77a6ad52
语用,语用,doc-ca532c518f704809a3340c2e77a6ad52
语言处理层次,语言处理层次,doc-ca532c518f704809a3340c2e77a6ad52
语言学,语言学,doc-ca532c518f704809a3340c2e77a6ad52
语言学知识,语言学知识,doc-ca532c518f704809a3340c2e77a6ad52
语言建模和表示,语言建模和表示,doc-ca532c518f704809a3340c2e77a6ad52
语言模型,语言模型,doc-ca532c518f704809a3340c2e77a6ad52
语言歧义性,语言歧义性,doc-ca532c518f704809a3340c2e77a6ad52
语言理解和语言推理,语言理解和语言推理,doc-ca532c518f704809a3340c2e77a6ad52
语言的时空演化,语言的时空演化,doc-ca532c518f704809a3340c2e77a6ad52
语音,语音,doc-ca532c518f704809a3340c2e77a6ad52
语音处理,语音处理,doc-ca532c518f704809a3340c2e77a6ad52
调序模型,调序模型,doc-ca532c518f704809a3340c2e77a6ad52
达罗毗荼语系,达罗毗荼语系,doc-ca532c518f704809a3340c2e77a6ad52
过度翻译,过度翻译,doc-ca532c518f704809a3340c2e77a6ad52
量词范围问题,量词范围问题,doc-ca532c518f704809a3340c2e77a6ad52
